HD Point of equivalence class 5,LD Point,Equivalence Class
"[0, 0, 0, 0, 0, 5]","[5, 0]",5
"[5, 0, 0, 0, 0, 0]","[0, 5]",5
"[4, 1, 0, 0, 0, 0]","[0.0199203187250996, 4.9800796812749]",5
"[4, 0, 1, 0, 0, 0]","[0.0398406374501992, 4.960159362549801]",5
"[4, 0, 0, 1, 0, 0]","[0.05976095617529881, 4.940239043824701]",5
"[4, 0, 0, 0, 1, 0]","[0.0796812749003984, 4.920318725099602]",5
"[4, 0, 0, 0, 0, 1]","[0.099601593625498, 4.900398406374502]",5
"[3, 1, 1, 0, 0, 0]","[0.1195219123505976, 4.8804780876494025]",5
"[3, 1, 0, 1, 0, 0]","[0.1394422310756972, 4.860557768924303]",5
"[3, 1, 0, 0, 1, 0]","[0.1593625498007968, 4.840637450199203]",5
"[3, 1, 0, 0, 0, 1]","[0.17928286852589642, 4.820717131474104]",5
"[3, 0, 1, 1, 0, 0]","[0.19920318725099603, 4.800796812749004]",5
"[3, 0, 1, 0, 1, 0]","[0.21912350597609564, 4.780876494023905]",5
"[3, 0, 1, 0, 0, 1]","[0.23904382470119526, 4.760956175298805]",5
"[3, 0, 0, 1, 1, 0]","[0.25896414342629487, 4.741035856573705]",5
"[3, 0, 0, 1, 0, 1]","[0.27888446215139445, 4.721115537848606]",5
"[3, 0, 0, 0, 1, 1]","[0.29880478087649404, 4.701195219123506]",5
"[3, 2, 0, 0, 0, 0]","[0.3187250996015936, 4.681274900398407]",5
"[3, 0, 2, 0, 0, 0]","[0.3386454183266932, 4.661354581673307]",5
"[3, 0, 0, 2, 0, 0]","[0.3585657370517928, 4.6414342629482075]",5
"[3, 0, 0, 0, 2, 0]","[0.37848605577689237, 4.621513944223108]",5
"[3, 0, 0, 0, 0, 2]","[0.39840637450199196, 4.601593625498008]",5
"[2, 1, 1, 1, 0, 0]","[0.41832669322709154, 4.581673306772909]",5
"[2, 1, 1, 0, 1, 0]","[0.4382470119521911, 4.561752988047809]",5
"[2, 1, 1, 0, 0, 1]","[0.4581673306772907, 4.54183266932271]",5
"[2, 1, 0, 1, 1, 0]","[0.4780876494023903, 4.52191235059761]",5
"[2, 1, 0, 1, 0, 1]","[0.4980079681274899, 4.50199203187251]",5
"[2, 1, 0, 0, 1, 1]","[0.5179282868525895, 4.482071713147411]",5
"[2, 0, 1, 1, 1, 0]","[0.5378486055776891, 4.462151394422311]",5
"[2, 0, 1, 1, 0, 1]","[0.5577689243027887, 4.442231075697212]",5
"[2, 0, 1, 0, 1, 1]","[0.5776892430278883, 4.422310756972112]",5
"[2, 0, 0, 1, 1, 1]","[0.5976095617529879, 4.4023904382470125]",5
"[2, 2, 1, 0, 0, 0]","[0.6175298804780874, 4.382470119521913]",5
"[2, 2, 0, 1, 0, 0]","[0.637450199203187, 4.362549800796813]",5
"[2, 2, 0, 0, 1, 0]","[0.6573705179282866, 4.342629482071714]",5
"[2, 2, 0, 0, 0, 1]","[0.6772908366533862, 4.322709163346614]",5
"[2, 1, 2, 0, 0, 0]","[0.6972111553784858, 4.302788844621515]",5
"[2, 1, 0, 2, 0, 0]","[0.7171314741035854, 4.282868525896415]",5
"[2, 1, 0, 0, 2, 0]","[0.7370517928286849, 4.262948207171315]",5
"[2, 1, 0, 0, 0, 2]","[0.7569721115537845, 4.243027888446216]",5
"[2, 0, 2, 1, 0, 0]","[0.7768924302788841, 4.223107569721116]",5
"[2, 0, 2, 0, 1, 0]","[0.7968127490039837, 4.203187250996017]",5
"[2, 0, 2, 0, 0, 1]","[0.8167330677290833, 4.183266932270917]",5
"[2, 0, 1, 2, 0, 0]","[0.8366533864541829, 4.1633466135458175]",5
"[2, 0, 1, 0, 2, 0]","[0.8565737051792824, 4.143426294820718]",5
"[2, 0, 1, 0, 0, 2]","[0.876494023904382, 4.123505976095618]",5
"[2, 0, 0, 2, 1, 0]","[0.8964143426294816, 4.103585657370519]",5
"[2, 0, 0, 2, 0, 1]","[0.9163346613545812, 4.083665338645419]",5
"[2, 0, 0, 1, 2, 0]","[0.9362549800796808, 4.06374501992032]",5
"[2, 0, 0, 1, 0, 2]","[0.9561752988047804, 4.04382470119522]",5
"[2, 0, 0, 0, 2, 1]","[0.9760956175298799, 4.02390438247012]",5
"[2, 0, 0, 0, 1, 2]","[0.9960159362549795, 4.003984063745021]",5
"[2, 3, 0, 0, 0, 0]","[1.0159362549800792, 3.984063745019921]",5
"[2, 0, 3, 0, 0, 0]","[1.0358565737051788, 3.9641434262948216]",5
"[2, 0, 0, 3, 0, 0]","[1.0557768924302784, 3.944223107569722]",5
"[2, 0, 0, 0, 3, 0]","[1.075697211155378, 3.9243027888446225]",5
"[2, 0, 0, 0, 0, 3]","[1.0956175298804776, 3.904382470119523]",5
"[1, 1, 1, 1, 1, 0]","[1.1155378486055771, 3.8844621513944233]",5
"[1, 1, 1, 1, 0, 1]","[1.1354581673306767, 3.8645418326693237]",5
"[1, 1, 1, 0, 1, 1]","[1.1553784860557763, 3.844621513944224]",5
"[1, 1, 0, 1, 1, 1]","[1.175298804780876, 3.8247011952191245]",5
"[1, 0, 1, 1, 1, 1]","[1.1952191235059755, 3.804780876494025]",5
"[1, 2, 1, 1, 0, 0]","[1.215139442231075, 3.7848605577689254]",5
"[1, 2, 1, 0, 1, 0]","[1.2350597609561746, 3.764940239043826]",5
"[1, 2, 1, 0, 0, 1]","[1.2549800796812742, 3.745019920318726]",5
"[1, 2, 0, 1, 1, 0]","[1.2749003984063738, 3.7250996015936266]",5
"[1, 2, 0, 1, 0, 1]","[1.2948207171314734, 3.705179282868527]",5
"[1, 2, 0, 0, 1, 1]","[1.314741035856573, 3.6852589641434275]",5
"[1, 1, 2, 1, 0, 0]","[1.3346613545816726, 3.665338645418328]",5
"[1, 1, 2, 0, 1, 0]","[1.3545816733067721, 3.6454183266932283]",5
"[1, 1, 2, 0, 0, 1]","[1.3745019920318717, 3.6254980079681287]",5
"[1, 1, 1, 2, 0, 0]","[1.3944223107569713, 3.605577689243029]",5
"[1, 1, 1, 0, 2, 0]","[1.414342629482071, 3.5856573705179295]",5
"[1, 1, 1, 0, 0, 2]","[1.4342629482071705, 3.56573705179283]",5
"[1, 1, 0, 2, 1, 0]","[1.45418326693227, 3.5458167330677304]",5
"[1, 1, 0, 2, 0, 1]","[1.4741035856573697, 3.525896414342631]",5
"[1, 1, 0, 1, 2, 0]","[1.4940239043824692, 3.505976095617531]",5
"[1, 1, 0, 1, 0, 2]","[1.5139442231075688, 3.4860557768924316]",5
"[1, 1, 0, 0, 2, 1]","[1.5338645418326684, 3.466135458167332]",5
"[1, 1, 0, 0, 1, 2]","[1.553784860557768, 3.4462151394422325]",5
"[1, 0, 2, 1, 1, 0]","[1.5737051792828676, 3.426294820717133]",5
"[1, 0, 2, 1, 0, 1]","[1.5936254980079672, 3.4063745019920333]",5
"[1, 0, 2, 0, 1, 1]","[1.6135458167330667, 3.3864541832669337]",5
"[1, 0, 1, 2, 1, 0]","[1.6334661354581663, 3.366533864541834]",5
"[1, 0, 1, 2, 0, 1]","[1.653386454183266, 3.3466135458167345]",5
"[1, 0, 1, 1, 2, 0]","[1.6733067729083655, 3.326693227091635]",5
"[1, 0, 1, 1, 0, 2]","[1.693227091633465, 3.3067729083665354]",5
"[1, 0, 1, 0, 2, 1]","[1.7131474103585647, 3.286852589641436]",5
"[1, 0, 1, 0, 1, 2]","[1.7330677290836642, 3.266932270916336]",5
"[1, 0, 0, 2, 1, 1]","[1.7529880478087638, 3.2470119521912366]",5
"[1, 0, 0, 1, 2, 1]","[1.7729083665338634, 3.227091633466137]",5
"[1, 0, 0, 1, 1, 2]","[1.792828685258963, 3.2071713147410374]",5
"[1, 2, 2, 0, 0, 0]","[1.8127490039840626, 3.187250996015938]",5
"[1, 2, 0, 2, 0, 0]","[1.8326693227091622, 3.1673306772908383]",5
"[1, 2, 0, 0, 2, 0]","[1.8525896414342617, 3.1474103585657387]",5
"[1, 2, 0, 0, 0, 2]","[1.8725099601593613, 3.127490039840639]",5
"[1, 0, 2, 2, 0, 0]","[1.892430278884461, 3.1075697211155395]",5
"[1, 0, 2, 0, 2, 0]","[1.9123505976095605, 3.08764940239044]",5
"[1, 0, 2, 0, 0, 2]","[1.93227091633466, 3.0677290836653404]",5
"[1, 0, 0, 2, 2, 0]","[1.9521912350597597, 3.0478087649402408]",5
"[1, 0, 0, 2, 0, 2]","[1.9721115537848593, 3.027888446215141]",5
"[1, 0, 0, 0, 2, 2]","[1.9920318725099588, 3.0079681274900416]",5
"[1, 3, 1, 0, 0, 0]","[2.0119521912350584, 2.988047808764942]",5
"[1, 3, 0, 1, 0, 0]","[2.031872509960158, 2.9681274900398424]",5
"[1, 3, 0, 0, 1, 0]","[2.0517928286852576, 2.948207171314743]",5
"[1, 3, 0, 0, 0, 1]","[2.071713147410357, 2.9282868525896433]",5
"[1, 1, 3, 0, 0, 0]","[2.0916334661354568, 2.9083665338645437]",5
"[1, 1, 0, 3, 0, 0]","[2.1115537848605563, 2.888446215139444]",5
"[1, 1, 0, 0, 3, 0]","[2.131474103585656, 2.8685258964143445]",5
"[1, 1, 0, 0, 0, 3]","[2.1513944223107555, 2.848605577689245]",5
"[1, 0, 3, 1, 0, 0]","[2.171314741035855, 2.8286852589641454]",5
"[1, 0, 3, 0, 1, 0]","[2.1912350597609547, 2.8087649402390458]",5
"[1, 0, 3, 0, 0, 1]","[2.2111553784860543, 2.788844621513946]",5
"[1, 0, 1, 3, 0, 0]","[2.231075697211154, 2.7689243027888466]",5
"[1, 0, 1, 0, 3, 0]","[2.2509960159362534, 2.749003984063747]",5
"[1, 0, 1, 0, 0, 3]","[2.270916334661353, 2.7290836653386474]",5
"[1, 0, 0, 3, 1, 0]","[2.2908366533864526, 2.709163346613548]",5
"[1, 0, 0, 3, 0, 1]","[2.310756972111552, 2.6892430278884483]",5
"[1, 0, 0, 1, 3, 0]","[2.3306772908366518, 2.6693227091633487]",5
"[1, 0, 0, 1, 0, 3]","[2.3505976095617513, 2.649402390438249]",5
"[1, 0, 0, 0, 3, 1]","[2.370517928286851, 2.6294820717131495]",5
"[1, 0, 0, 0, 1, 3]","[2.3904382470119505, 2.60956175298805]",5
"[0, 1, 1, 1, 1, 1]","[2.41035856573705, 2.5896414342629503]",5
"[0, 2, 1, 1, 1, 0]","[2.4302788844621497, 2.5697211155378508]",5
"[0, 2, 1, 1, 0, 1]","[2.4501992031872493, 2.549800796812751]",5
"[0, 2, 1, 0, 1, 1]","[2.470119521912349, 2.5298804780876516]",5
"[0, 2, 0, 1, 1, 1]","[2.4900398406374484, 2.509960159362552]",5
"[0, 1, 2, 1, 1, 0]","[2.509960159362548, 2.4900398406374524]",5
"[0, 1, 2, 1, 0, 1]","[2.5298804780876476, 2.470119521912353]",5
"[0, 1, 2, 0, 1, 1]","[2.549800796812747, 2.4501992031872533]",5
"[0, 1, 1, 2, 1, 0]","[2.5697211155378468, 2.4302788844621537]",5
"[0, 1, 1, 2, 0, 1]","[2.5896414342629464, 2.410358565737054]",5
"[0, 1, 1, 1, 2, 0]","[2.609561752988046, 2.3904382470119545]",5
"[0, 1, 1, 1, 0, 2]","[2.6294820717131455, 2.370517928286855]",5
"[0, 1, 1, 0, 2, 1]","[2.649402390438245, 2.3505976095617553]",5
"[0, 1, 1, 0, 1, 2]","[2.6693227091633447, 2.3306772908366558]",5
"[0, 1, 0, 2, 1, 1]","[2.6892430278884443, 2.310756972111556]",5
"[0, 1, 0, 1, 2, 1]","[2.709163346613544, 2.2908366533864566]",5
"[0, 1, 0, 1, 1, 2]","[2.7290836653386434, 2.270916334661357]",5
"[0, 0, 2, 1, 1, 1]","[2.749003984063743, 2.2509960159362574]",5
"[0, 0, 1, 2, 1, 1]","[2.7689243027888426, 2.231075697211158]",5
"[0, 0, 1, 1, 2, 1]","[2.788844621513942, 2.2111553784860583]",5
"[0, 0, 1, 1, 1, 2]","[2.8087649402390418, 2.1912350597609587]",5
"[1, 0, 0, 0, 0, 4]","[2.8286852589641414, 2.171314741035859]",5
"[0, 1, 0, 0, 0, 4]","[2.848605577689241, 2.1513944223107595]",5
"[0, 0, 1, 0, 0, 4]","[2.8685258964143405, 2.13147410358566]",5
"[0, 0, 0, 1, 0, 4]","[2.88844621513944, 2.1115537848605603]",5
"[0, 0, 0, 0, 1, 4]","[2.9083665338645397, 2.0916334661354608]",5
"[0, 1, 1, 0, 0, 3]","[2.9282868525896393, 2.071713147410361]",5
"[0, 1, 0, 1, 0, 3]","[2.948207171314739, 2.0517928286852616]",5
"[0, 1, 0, 0, 1, 3]","[2.9681274900398384, 2.031872509960162]",5
"[0, 0, 1, 1, 0, 3]","[2.988047808764938, 2.0119521912350624]",5
"[0, 0, 1, 0, 1, 3]","[3.0079681274900376, 1.9920318725099628]",5
"[0, 0, 0, 1, 1, 3]","[3.027888446215137, 1.9721115537848632]",5
"[0, 2, 0, 0, 0, 3]","[3.047808764940237, 1.9521912350597637]",5
"[0, 0, 2, 0, 0, 3]","[3.0677290836653364, 1.932270916334664]",5
"[0, 0, 0, 2, 0, 3]","[3.087649402390436, 1.9123505976095645]",5
"[0, 0, 0, 0, 2, 3]","[3.1075697211155355, 1.892430278884465]",5
"[0, 2, 1, 0, 0, 2]","[3.127490039840635, 1.8725099601593653]",5
"[0, 2, 0, 1, 0, 2]","[3.1474103585657347, 1.8525896414342657]",5
"[0, 2, 0, 0, 1, 2]","[3.1673306772908343, 1.8326693227091662]",5
"[0, 1, 2, 0, 0, 2]","[3.187250996015934, 1.8127490039840666]",5
"[0, 1, 0, 2, 0, 2]","[3.2071713147410335, 1.792828685258967]",5
"[0, 1, 0, 0, 2, 2]","[3.227091633466133, 1.7729083665338674]",5
"[0, 0, 2, 1, 0, 2]","[3.2470119521912326, 1.7529880478087678]",5
"[0, 0, 2, 0, 1, 2]","[3.266932270916332, 1.7330677290836682]",5
"[0, 0, 1, 2, 0, 2]","[3.286852589641432, 1.7131474103585687]",5
"[0, 0, 1, 0, 2, 2]","[3.3067729083665314, 1.693227091633469]",5
"[0, 0, 0, 2, 1, 2]","[3.326693227091631, 1.6733067729083695]",5
"[0, 0, 0, 1, 2, 2]","[3.3466135458167305, 1.65338645418327]",5
"[0, 3, 0, 0, 0, 2]","[3.36653386454183, 1.6334661354581703]",5
"[0, 0, 3, 0, 0, 2]","[3.3864541832669297, 1.6135458167330707]",5
"[0, 0, 0, 3, 0, 2]","[3.4063745019920293, 1.5936254980079712]",5
"[0, 0, 0, 0, 3, 2]","[3.426294820717129, 1.5737051792828716]",5
"[0, 2, 2, 0, 0, 1]","[3.4462151394422285, 1.553784860557772]",5
"[0, 2, 0, 2, 0, 1]","[3.466135458167328, 1.5338645418326724]",5
"[0, 2, 0, 0, 2, 1]","[3.4860557768924276, 1.5139442231075728]",5
"[0, 0, 2, 2, 0, 1]","[3.505976095617527, 1.4940239043824732]",5
"[0, 0, 2, 0, 2, 1]","[3.525896414342627, 1.4741035856573736]",5
"[0, 0, 0, 2, 2, 1]","[3.5458167330677264, 1.454183266932274]",5
"[0, 3, 1, 0, 0, 1]","[3.565737051792826, 1.4342629482071745]",5
"[0, 3, 0, 1, 0, 1]","[3.5856573705179255, 1.414342629482075]",5
"[0, 3, 0, 0, 1, 1]","[3.605577689243025, 1.3944223107569753]",5
"[0, 1, 3, 0, 0, 1]","[3.6254980079681247, 1.3745019920318757]",5
"[0, 1, 0, 3, 0, 1]","[3.6454183266932243, 1.3545816733067761]",5
"[0, 1, 0, 0, 3, 1]","[3.665338645418324, 1.3346613545816766]",5
"[0, 0, 3, 1, 0, 1]","[3.6852589641434235, 1.314741035856577]",5
"[0, 0, 3, 0, 1, 1]","[3.705179282868523, 1.2948207171314774]",5
"[0, 0, 1, 3, 0, 1]","[3.7250996015936226, 1.2749003984063778]",5
"[0, 0, 1, 0, 3, 1]","[3.745019920318722, 1.2549800796812782]",5
"[0, 0, 0, 3, 1, 1]","[3.764940239043822, 1.2350597609561786]",5
"[0, 0, 0, 1, 3, 1]","[3.7848605577689214, 1.215139442231079]",5
"[0, 4, 0, 0, 0, 1]","[3.804780876494021, 1.1952191235059795]",5
"[0, 0, 4, 0, 0, 1]","[3.8247011952191206, 1.17529880478088]",5
"[0, 0, 0, 4, 0, 1]","[3.84462151394422, 1.1553784860557803]",5
"[0, 0, 0, 0, 4, 1]","[3.8645418326693197, 1.1354581673306807]",5
"[0, 2, 2, 1, 0, 0]","[3.8844621513944193, 1.1155378486055811]",5
"[0, 2, 2, 0, 1, 0]","[3.904382470119519, 1.0956175298804816]",5
"[0, 2, 1, 2, 0, 0]","[3.9243027888446185, 1.075697211155382]",5
"[0, 2, 1, 0, 2, 0]","[3.944223107569718, 1.0557768924302824]",5
"[0, 2, 0, 2, 1, 0]","[3.9641434262948176, 1.0358565737051828]",5
"[0, 2, 0, 1, 2, 0]","[3.9840637450199172, 1.0159362549800832]",5
"[0, 1, 2, 2, 0, 0]","[4.003984063745017, 0.9960159362549836]",5
"[0, 1, 2, 0, 2, 0]","[4.023904382470117, 0.976095617529884]",5
"[0, 1, 0, 2, 2, 0]","[4.043824701195216, 0.9561752988047845]",5
"[0, 0, 2, 2, 1, 0]","[4.063745019920316, 0.9362549800796849]",5
"[0, 0, 2, 1, 2, 0]","[4.083665338645416, 0.9163346613545853]",5
"[0, 0, 1, 2, 2, 0]","[4.103585657370515, 0.8964143426294857]",5
"[0, 3, 1, 1, 0, 0]","[4.123505976095615, 0.8764940239043861]",5
"[0, 3, 1, 0, 1, 0]","[4.143426294820714, 0.8565737051792865]",5
"[0, 3, 0, 1, 1, 0]","[4.163346613545814, 0.836653386454187]",5
"[0, 1, 3, 1, 0, 0]","[4.1832669322709135, 0.8167330677290874]",5
"[0, 1, 3, 0, 1, 0]","[4.203187250996013, 0.7968127490039878]",5
"[0, 1, 1, 3, 0, 0]","[4.223107569721113, 0.7768924302788882]",5
"[0, 1, 1, 0, 3, 0]","[4.243027888446212, 0.7569721115537886]",5
"[0, 1, 0, 3, 1, 0]","[4.262948207171312, 0.737051792828689]",5
"[0, 1, 0, 1, 3, 0]","[4.282868525896411, 0.7171314741035895]",5
"[0, 0, 3, 1, 1, 0]","[4.302788844621511, 0.6972111553784899]",5
"[0, 0, 1, 3, 1, 0]","[4.322709163346611, 0.6772908366533903]",5
"[0, 0, 1, 1, 3, 0]","[4.34262948207171, 0.6573705179282907]",5
"[0, 3, 2, 0, 0, 0]","[4.36254980079681, 0.6374501992031911]",5
"[0, 3, 0, 2, 0, 0]","[4.382470119521909, 0.6175298804780915]",5
"[0, 3, 0, 0, 2, 0]","[4.402390438247009, 0.597609561752992]",5
"[0, 2, 3, 0, 0, 0]","[4.4223107569721085, 0.5776892430278924]",5
"[0, 2, 0, 3, 0, 0]","[4.442231075697208, 0.5577689243027928]",5
"[0, 2, 0, 0, 3, 0]","[4.462151394422308, 0.5378486055776932]",5
"[0, 0, 3, 2, 0, 0]","[4.482071713147407, 0.5179282868525936]",5
"[0, 0, 3, 0, 2, 0]","[4.501992031872507, 0.49800796812749404]",5
"[0, 0, 2, 3, 0, 0]","[4.521912350597606, 0.47808764940239445]",5
"[0, 0, 2, 0, 3, 0]","[4.541832669322706, 0.45816733067729487]",5
"[0, 0, 0, 3, 2, 0]","[4.561752988047806, 0.4382470119521953]",5
"[0, 0, 0, 2, 3, 0]","[4.581673306772905, 0.4183266932270957]",5
"[1, 4, 0, 0, 0, 0]","[4.601593625498005, 0.3984063745019961]",5
"[1, 0, 4, 0, 0, 0]","[4.621513944223104, 0.37848605577689654]",5
"[1, 0, 0, 4, 0, 0]","[4.641434262948204, 0.35856573705179695]",5
"[1, 0, 0, 0, 4, 0]","[4.6613545816733035, 0.33864541832669737]",5
"[0, 4, 1, 0, 0, 0]","[4.681274900398403, 0.3187250996015978]",5
"[0, 4, 0, 1, 0, 0]","[4.701195219123503, 0.2988047808764982]",5
"[0, 4, 0, 0, 1, 0]","[4.721115537848602, 0.2788844621513986]",5
"[0, 1, 4, 0, 0, 0]","[4.741035856573702, 0.25896414342629903]",5
"[0, 1, 0, 4, 0, 0]","[4.760956175298801, 0.23904382470119942]",5
"[0, 1, 0, 0, 4, 0]","[4.780876494023901, 0.2191235059760998]",5
"[0, 0, 4, 1, 0, 0]","[4.800796812749001, 0.1992031872510002]",5
"[0, 0, 4, 0, 1, 0]","[4.8207171314741, 0.17928286852590058]",5
"[0, 0, 1, 4, 0, 0]","[4.8406374501992, 0.15936254980080097]",5
"[0, 0, 1, 0, 4, 0]","[4.860557768924299, 0.13944223107570136]",5
"[0, 0, 0, 4, 1, 0]","[4.880478087649399, 0.11952191235060176]",5
"[0, 0, 0, 1, 4, 0]","[4.9003984063744985, 0.09960159362550217]",5
"[0, 5, 0, 0, 0, 0]","[4.920318725099598, 0.07968127490040257]",5
"[0, 0, 5, 0, 0, 0]","[4.940239043824698, 0.05976095617530297]",5
"[0, 0, 0, 5, 0, 0]","[4.960159362549797, 0.03984063745020337]",5
"[0, 0, 0, 0, 5, 0]","[4.980079681274897, 0.01992031872510377]",5
